model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
JCBgma30,Set11,10,1,5,500.0,12.0,1,100,0.04,27.704994,21.28939,141.66571,559.68414,1012.45624,0.0041202814,0.011081642,0,99
smtADV,Set11,10,1,5,500.0,12.0,1,100,0.04,27.161934,22.348038,157.48805,432.29514,768.3094,0.0024081448,0.007540196,0,99
STH,Set11,10,1,5,500.0,12.0,1,100,0.04,27.303133,22.345245,150.91711,442.72757,697.6976,0.002609413,0.0064743967,0,99
ISTA,Set11,10,1,5,500.0,15.0,0,0,0.0,27.775072,21.163687,139.83571,553.53577,0.0,0.0040293424,0.0,0,0
ADV,Set11,10,1,5,500.0,15.0,0,0,0.0,27.179253,21.981976,157.95818,459.0829,0.0,0.002584275,0.0,0,0
JCBgma10,Set11,10,1,5,500.0,15.0,0,0,0.0,27.654255,21.09033,142.7737,582.9804,0.0,0.0042509683,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,15.0,0,0,0.0,27.739998,20.970482,140.68468,587.61426,0.0,0.004403803,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,15.0,0,0,0.0,27.704994,20.575823,141.66571,642.9411,0.0,0.005038746,0.0,0,0
smtADV,Set11,10,1,5,500.0,15.0,0,0,0.0,27.161934,21.600311,157.48805,492.7745,0.0,0.002995073,0.0,0,0
STH,Set11,10,1,5,500.0,15.0,0,0,0.0,27.303133,21.893291,150.91711,480.8833,0.0,0.0029634582,0.0,0,0
ISTA,Set11,10,1,5,500.0,15.0,1,100,0.04,27.775072,21.950016,139.83571,476.87668,914.71625,0.0031906478,0.009671814,0,99
ADV,Set11,10,1,5,500.0,15.0,1,100,0.04,27.179253,22.652098,157.95818,412.57245,734.60675,0.0021517535,0.007011274,0,99
JCBgma10,Set11,10,1,5,500.0,15.0,1,100,0.04,27.654255,21.72021,142.7737,515.4339,959.81305,0.0035426684,0.010220968,0,99
JCBgma20,Set11,10,1,5,500.0,15.0,1,100,0.04,27.739998,21.736626,140.68468,508.0091,942.4943,0.0035374619,0.010109514,0,99
JCBgma30,Set11,10,1,5,500.0,15.0,1,100,0.04,27.704994,21.285557,141.66571,560.1147,1015.43695,0.004124742,0.011124905,0,99
smtADV,Set11,10,1,5,500.0,15.0,1,100,0.04,27.161934,22.347132,157.48805,432.25027,768.4492,0.0024092703,0.007541328,0,99
STH,Set11,10,1,5,500.0,15.0,1,100,0.04,27.303133,22.339817,150.91711,443.3224,697.0252,0.0026163885,0.0064637694,0,99
