model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
JCBgma20,BSD68,0.1,1,5,10000,30,1,250,0.1,28.186155,19.803616,149.474,788.07764,790.6625,0.00761387,0.007661856,0,249
ordinary,BSD68,0.1,1,5,10000,40,0,0,0,27.879263,20.295448,160.17203,743.2657,0,0.006602982,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,40,0,0,0,28.174904,19.908918,149.52745,761.7861,0,0.007637272,0,0,0
ADV,BSD68,0.1,1,5,10000,40,0,0,0,28.073128,20.232616,153.82018,746.4867,0,0.006775058,0,0,0
smtADV,BSD68,0.1,1,5,10000,40,0,0,0,25.450308,21.076881,262.79456,620.16565,0,0.003591186,0,0,0
STH,BSD68,0.1,1,5,10000,40,0,0,0,26.444578,24.216522,190.5041,320.7013,0,0.000974665,0,0,0
smtADV,BSD68,0.1,1,5,10000,30,1,250,0.1,25.450329,19.770636,262.77576,771.3441,1010.6509,0.009044626,0.016500518,0,249
ordinary,BSD68,0.1,1,5,10000,40,1,250,0.1,27.874094,20.284641,160.45966,750.0629,753.1301,0.006702478,0.006767914,0,249
STH,BSD68,0.1,1,5,10000,30,1,250,0.1,26.434046,23.50034,190.8175,372.7923,450.66336,0.001817549,0.003197339,0,249
JCBgma20,BSD68,0.1,1,5,10000,40,1,250,0.1,28.191378,20.004557,149.3596,756.8833,759.5348,0.007243091,0.007290661,0,249
ADV,BSD68,0.1,1,5,10000,40,1,250,0.1,28.066576,20.290586,153.87909,735.8404,738.30054,0.006624041,0.006675773,0,249
ordinary,BSD68,0.1,1,5,10000,50,0,0,0,27.877945,20.29536,160.2577,739.21124,0,0.006551699,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,50,0,0,0,28.179781,20.11079,149.68983,745.437,0,0.006933299,0,0,0
ADV,BSD68,0.1,1,5,10000,50,0,0,0,28.07078,20.121693,153.88852,771.7396,0,0.007082147,0,0,0
smtADV,BSD68,0.1,1,5,10000,50,0,0,0,25.447456,21.178423,263.07278,611.33875,0,0.00348993,0,0,0
STH,BSD68,0.1,1,5,10000,50,0,0,0,26.427225,24.22307,190.98987,320.68195,0,0.000967351,0,0,0
smtADV,BSD68,0.1,1,5,10000,40,1,250,0.1,25.460945,19.64835,262.55765,792.3058,1039.8357,0.009263515,0.016865784,0,249
ordinary,BSD68,0.1,1,5,10000,50,1,250,0.1,27.875986,20.335173,160.33011,735.8067,739.5351,0.006460259,0.006530323,0,249
STH,BSD68,0.1,1,5,10000,40,1,250,0.1,26.444963,23.50228,190.33778,374.55298,453.51083,0.001852596,0.00325338,0,249
JCBgma20,BSD68,0.1,1,5,10000,50,1,250,0.1,28.18216,19.846169,149.66516,789.25385,791.39636,0.007605608,0.007645384,0,249
ADV,BSD68,0.1,1,5,10000,50,1,250,0.1,28.073244,20.347366,153.8952,727.3059,730.1975,0.006442989,0.006494583,0,249
smtADV,BSD68,0.1,1,5,10000,50,1,250,0.1,25.446241,19.74202,262.99692,775.75507,1018.5193,0.009079891,0.016565325,0,249
STH,BSD68,0.1,1,5,10000,50,1,250,0.1,26.39866,23.453657,191.99811,376.68607,455.2316,0.001847034,0.003230905,0,249
