model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
STH,BSD68,0.1,1,2,5000,1.5,0,0,0,26.44839,26.034752,190.38692,206.55714,0,3.73E-05,0,0,0
ADV,BSD68,0.1,1,2,5000,0.3,1,250,0.1,28.07802,27.880032,153.69583,157.80229,157.84477,1.09E-05,1.10E-05,0,249
ordinary,BSD68,0.1,1,2,5000,1.5,1,250,0.1,27.872944,26.979753,160.30078,184.52861,184.54553,9.74E-05,9.79E-05,0,249
smtADV,BSD68,0.1,1,2,5000,0.3,1,250,0.1,25.453049,21.544346,262.82,500.49655,678.0375,0.006262695,0.012969416,0,249
JCBgma20,BSD68,0.1,1,2,5000,1.5,1,250,0.1,28.180824,27.276058,149.55354,171.639,171.62743,8.88E-05,8.90E-05,0,249
ordinary,BSD68,0.1,1,2,5000,3,0,0,0,27.864313,26.670654,160.4204,200.55333,0,0.000192084,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,3,0,0,0,28.177593,27.002823,149.77612,185.42966,0,0.000169165,0,0,0
ADV,BSD68,0.1,1,2,5000,3,0,0,0,28.075506,26.946844,153.75235,190.55516,0,0.000167154,0,0,0
smtADV,BSD68,0.1,1,2,5000,3,0,0,0,25.457544,24.836416,262.7507,293.221,0,0.000119472,0,0,0
STH,BSD68,0.1,1,2,5000,3,0,0,0,26.419558,25.95716,191.23807,211.04991,0,5.24E-05,0,0,0
STH,BSD68,0.1,1,2,5000,0.3,1,250,0.1,26.444479,24.506462,190.60931,286.91043,388.62897,0.001402455,0.003109373,0,249
ordinary,BSD68,0.1,1,2,5000,3,1,250,0.1,27.866737,26.692932,160.63165,200.23473,200.34233,0.000192297,0.000193465,0,249
ADV,BSD68,0.1,1,2,5000,1.5,1,250,0.1,28.076685,27.168575,153.84738,177.48227,177.59482,9.35E-05,9.41E-05,0,249
JCBgma20,BSD68,0.1,1,2,5000,3,1,250,0.1,28.197275,27.068289,149.20885,183.0144,183.08533,0.000164685,0.00016531,0,249
smtADV,BSD68,0.1,1,2,5000,1.5,1,250,0.1,25.45195,21.45073,262.79468,511.39426,691.04175,0.006311547,0.013048795,0,249
STH,BSD68,0.1,1,2,5000,1.5,1,250,0.1,26.441975,24.440136,190.57484,291.24017,386.60303,0.001340429,0.002958822,0,249
ADV,BSD68,0.1,1,2,5000,3,1,250,0.1,28.07675,26.953405,153.77711,190.09694,190.2563,0.000169898,0.000171188,0,249
smtADV,BSD68,0.1,1,2,5000,3,1,250,0.1,25.457901,21.397646,262.52597,518.8253,697.20746,0.006373124,0.013064206,0,249
STH,BSD68,0.1,1,2,5000,3,1,250,0.1,26.42287,24.425709,190.96368,293.3408,387.48962,0.001330407,0.002942425,0,249
